pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_mass,sy_dist
WASP-94 B b,WASP-94 B,Radial Velocity,2014,196.411,,2.00839,,6040.0,1.24,208.696
GJ 436 b,GJ 436,Radial Velocity,2004,22.1,4.17,2.64388312,,,0.47,9.75321
WASP-80 b,WASP-80,Transit,2012,170.99254,11.197791,3.06785234,825.0,4143.0,0.577,49.7876
HATS-6 b,HATS-6,Transit,2015,101.38777,11.186582,3.3252725,712.8,3724.0,0.574,169.318
K2-33 b,K2-33,Transit,2016,1175.971,5.04,5.424865,,3540.0,0.56,139.268
WASP-39 b,WASP-39,Transit,2011,89.31023,14.336311,4.0552941,1166.0,5485.0,0.913,213.982
TOI-2147 b,TOI-2147,Transit,2026,116.0,10.5,26.20518,820.0,5983.0,0.99,282.108
TOI-6019 b,TOI-6019,Transit,2026,149.0,12.3,14.547952,1095.0,5561.0,1.13,260.342
NGTS-38 b,NGTS-38,Transit,2026,1516.04150139,12.11690814,180.52797,457.0,6310.0,1.46,268.637
TOI-1272 b,TOI-1272,Transit,2022,24.1,4.26,3.3159765,1051.0,4985.0,0.828,137.572
TOI-1694 b,TOI-1694,Transit,2023,28.24,5.27,3.7701389,1037.0,5005.0,0.828,124.68
TOI-1694 c,TOI-1694,Radial Velocity,2023,316.55709337,,386.25,222.0,5005.0,0.828,124.68
WASP-178 b,WASP-178,Transit,2019,527.5978,20.28829,3.3448285,2470.0,9360.0,2.07,427.678
TOI-125 b,TOI-125,Transit,2019,9.5,2.726,4.65382,1037.0,5320.0,0.859,111.059
TOI-125 c,TOI-125,Transit,2019,6.63,2.759,9.15059,827.8,5320.0,0.859,111.059
TOI-125 d,TOI-125,Transit,2020,13.6,2.93,19.98,638.1,5320.0,0.859,111.059
HATS-48 A b,HATS-48 A,Transit,2020,77.23269,8.9672,3.1316666,954.6,4546.0,0.7279,263.609
HATS-72 b,HATS-72,Transit,2020,39.855882,8.0973816,7.3279474,739.3,4656.1,0.7311,127.589
NGTS-10 b,NGTS-10,Transit,2020,687.14846,13.506845,0.7668944,1332.0,4600.0,0.696,
NGTS-11 b,NGTS-11,Transit,2020,109.33352,9.157753,35.45533,435.0,5050.0,0.862,190.422
HD 86226 b,HD 86226,Radial Velocity,2009,143.0235,,1628.0,176.0,5863.0,1.019,45.683
WD 1856+534 b,WD 1856+534,Transit,2020,4386.054,10.4,1.4079405,163.0,4710.0,0.518,24.7359
LTT 9779 b,LTT 9779,Transit,2020,29.32,4.72,0.792052,1978.0,5443.0,1.02,80.4373
TOI-824 b,TOI-824,Transit,2020,18.467,2.926,1.392978,1253.0,4600.0,0.71,63.9262
GJ 3473 c,GJ 3473,Radial Velocity,2020,7.41,,15.509,329.1,3347.0,0.36,27.3644
WASP-127 b,WASP-127,Transit,2016,52.346601,14.694999,4.17806203,,,0.95,159.507
TOI-3757 b,TOI-3757,Transit,2022,85.3,12.0,3.438753,759.0,3913.0,0.64,181.139
Kepler-167 e,Kepler-167,Transit,2016,321.00669107,10.16,1071.23205,134.4,4884.0,0.777,341.908
WASP-148 b,WASP-148,Transit,2020,91.21675281,8.47398941,8.803809,,5555.0,0.954,246.353
WASP-148 c,WASP-148,Radial Velocity,2020,124.58873554,,34.524,,5555.0,0.954,246.353
LP 890-9 b,LP 890-9,Transit,2022,13.2,1.32,2.7299025,396.0,2850.0,0.118,32.4298
LP 890-9 c,LP 890-9,Transit,2022,25.3,1.367,8.457463,272.0,2850.0,0.118,32.4298
TOI-1075 b,TOI-1075,Transit,2022,9.95,1.791,0.6047328,1323.0,3875.0,0.604,61.4592
HD 20329 b,HD 20329,Transit,2022,7.42,1.72,0.926118,2141.0,5596.0,0.9,63.6796
TOI-700 b,TOI-700,Transit,2020,,0.914,9.977219,,3459.0,0.415,31.1265
TOI-700 c,TOI-700,Transit,2020,,2.6,16.051137,,3459.0,0.415,31.1265
TOI-700 d,TOI-700,Transit,2020,,1.073,37.42396,,3459.0,0.415,31.1265
TOI-700 e,TOI-700,Transit,2023,,0.953,27.80978,,3459.0,0.415,31.1265
TOI-3235 b,TOI-3235,Transit,2023,211.35589065,11.39953337,2.59261842,604.0,3388.8,0.3939,72.811
TOI-836 b,TOI-836,Transit,2023,4.53,1.704,3.81673,871.0,4552.0,0.678,27.5024
TOI-836.01,TOI-836,Transit,2021,9.6,2.587,8.59545,665.0,4552.0,0.678,27.5024
TOI-181 b,TOI-181,Transit,2023,46.1687,6.9559,4.532,895.1,4994.0,0.822,96.2338
TOI-5205 b,TOI-5205,Transit,2023,343.0,11.6,1.630757,737.0,3430.0,0.392,86.4493
HD 3167 d,HD 3167,Radial Velocity,2017,4.33,,8.4112,,5261.0,0.837,47.2899
HD 3167 e,HD 3167,Radial Velocity,2022,8.41,,96.63,,5261.0,0.837,47.2899
HD 3167 b,HD 3167,Transit,2016,4.97,1.67,0.959641,1774.0,5261.0,0.837,47.2899
HD 3167 c,HD 3167,Transit,2016,11.13,3.0,29.8454,564.0,5261.0,0.837,47.2899
K2-141 b,K2-141,Transit,2018,4.97,1.51,0.2803244,2103.0,4570.0,0.708,61.8736
K2-141 c,K2-141,Transit,2018,8.0,7.0,7.7485,695.0,4570.0,0.708,61.8736
HIP 9618 b,HIP 9618,Transit,2023,8.3,3.82838127,20.772858,640.88,5649.0,0.942,67.5478
HIP 9618 c,HIP 9618,Transit,2023,7.0,3.42855926,52.56363,470.31,5649.0,0.942,67.5478
TOI-1823 b,TOI-1823,Transit,2024,67.4,7.5406241,38.8,423.63,4927.0,0.8414,71.6456
TOI-849 b,TOI-849,Transit,2020,41.8,3.64,0.765548,,5257.0,0.97,225.734
WASP-47 b,WASP-47,Transit,2012,374.0,12.86,4.159151,,,1.058,264.78
WASP-47 c,WASP-47,Radial Velocity,2015,447.0,,589.57,,,1.058,264.78
WASP-47 d,WASP-47,Transit,2015,15.5,3.65,9.030501,,,1.058,264.78
WASP-47 e,WASP-47,Transit,2015,9.0,1.83,0.78961,,,1.058,264.78
TOI-776 b,TOI-776,Transit,2020,5.0,1.798,8.24662,520.0,3725.0,0.542,27.1701
TOI-776 c,TOI-776,Transit,2020,6.9,2.047,15.665323,420.0,3725.0,0.542,27.1701
WASP-76 b,WASP-76,Transit,2016,284.13859586,20.78145022,1.80988198,2228.0,6329.0,1.458,194.459
HD 63935 b,HD 63935,Transit,2021,10.5,2.91575244,9.058807,825.22,5513.0,0.9406,48.9739
HD 63935 c,HD 63935,Radial Velocity,2021,11.1,3.06451296,21.4027,619.59,5513.0,0.9406,48.9739
TOI-1807 b,TOI-1807,Transit,2021,2.44,1.49681583,0.54937097,1694.1,4914.0,0.8048,42.5775
LTT 1445 A b,LTT 1445 A,Transit,2019,2.73,1.34,5.3587635,431.0,,0.257,6.86929
TOI-1173 b,TOI-1173,Transit,2024,27.4,9.19,7.06466,868.0,5350.0,0.911,132.353
TOI-6255 b,TOI-6255,Transit,2024,1.44,1.079,0.23818244,,3421.0,0.353,20.3167
TOI-421 b,TOI-421,Transit,2020,6.7,2.64,5.197576,922.0,5291.0,0.833,74.7969
TOI-421 c,TOI-421,Transit,2020,14.1,5.09,16.067541,635.0,5291.0,0.833,74.7969
TOI-1338 b,TOI-1338 A,Transit,2020,11.3,7.661,95.4001,,,1.0936,399.017
TOI-1338 c,TOI-1338 A,Radial Velocity,2023,75.4,,215.79,,,1.0936,399.017
TOI-3884 b,TOI-3884,Transit,2022,32.59,6.43,4.5445828,441.0,3180.0,0.298,43.1448
GJ 1132 b,GJ 1132,Transit,2015,1.83704819,1.19151465,1.62892911,583.8,3229.0,0.1945,12.613
HIP 67522 b,HIP 67522,Transit,2020,,9.9872018,6.9594731,1175.0,5675.0,1.22,127.28
HIP 67522 c,HIP 67522,Transit,2024,,7.93595834,14.334892,917.0,5675.0,1.22,127.28
GJ 9827 d,GJ 9827,Transit,2017,3.02,1.98,6.20183,675.0,4236.0,0.62,29.661
GJ 486 b,GJ 486,Radial Velocity,2021,2.77,1.289,1.46712127,696.3,3317.0,0.312,8.07426
TOI-260 b,TOI-260,Transit,2024,4.23,1.71,13.475853,493.0,4026.0,0.616,20.1852
L 168-9 b,L 168-9,Transit,2020,4.07,1.63,1.40152604,998.0,3842.0,0.614,25.1496
TOI-1130 b,TOI-1130,Transit,2020,19.8,3.66,4.074554,825.0,4360.0,0.745,58.2609
TOI-1130 c,TOI-1130,Transit,2020,336.0,13.0,8.3501898,650.0,4360.0,0.745,58.2609
Kepler-51 e,Kepler-51,Transit Timing Variations,2024,5.4,,264.284,,5674.0,0.96,783.831
IRAS 04125+2902 b,IRAS 04125+2902,Transit,2024,,10.73820351,8.834978,854.0,4080.0,0.7,159.244
WASP-12 b,WASP-12,Transit,2008,,22.02564708,1.091418901,,6265.0,1.325,427.246
HD 15337 b,HD 15337,Transit,2019,6.519,1.77,4.7559804,,5131.0,0.829,44.8155
HD 15337 c,HD 15337,Transit,2019,6.792,2.526,17.180546,,5131.0,0.829,44.8155
GJ 341 b,GJ 341,Transit,2025,4.0,0.88,7.57686,,3770.0,0.48,10.454
TOI-561 b,TOI-561,Transit,2020,2.02,1.397,0.4465697,2319.0,,0.806,85.799
TOI-561 c,TOI-561,Transit,2020,5.93,2.865,10.778838,802.0,,0.806,85.799
TOI-561 d,TOI-561,Transit,2020,13.33,2.615,25.71268,600.0,,0.806,85.799
TOI-561 e,TOI-561,Transit,2020,12.4,2.517,77.144,416.0,,0.806,85.799
HAT-P-11 b,HAT-P-11,Transit,2010,23.51930212,,4.888,,,0.811,37.7647
HAT-P-11 c,HAT-P-11,Radial Velocity,2018,851.78013076,,3361.0,,,0.811,37.7647
TOI-677 b,TOI-677,Transit,2020,392.20025424,13.11450742,11.2365985,,6295.0,1.181,141.812
BD+05 4868 A b,BD+05 4868 A,Transit,2025,6.2,,1.271869,1820.0,4596.0,0.7,43.5687
WASP-131 b,WASP-131,Transit,2016,86.76715511,13.74221034,5.3220125,,5990.0,1.06,200.075
TOI-6324 b,TOI-6324,Transit,2025,1.17,1.059,0.279221,1216.0,3247.0,0.269,20.5488
TOI-771 b,TOI-771,Transit,2024,2.47,1.36,2.3260155,543.0,3370.0,0.22,25.2788
TOI-771 c,TOI-771,Radial Velocity,2025,2.87,,7.61,365.0,3370.0,0.22,25.2788
WASP-77 A b,WASP-77 A,Transit,2012,529.31142902,,1.360029395,,5617.0,0.903,105.166
TOI-6894 b,TOI-6894,Transit,2025,53.39517238,9.5836785,3.37077196,417.9,3007.0,0.207,73.8131
KELT-11 b,KELT-11,Transit,2017,65.15482343,15.13212395,4.73620865,1712.0,5375.0,1.44,99.1596
TOI-1468 b,TOI-1468,Transit,2022,3.04,1.401,1.8805201,683.5,3376.0,0.3527,24.7399
TOI-1468 c,TOI-1468,Transit,2022,4.1,2.126,15.532477,338.1,3376.0,0.3527,24.7399
TOI-2031 A b,TOI-2031 A,Transit,2025,254.2627256,14.20177855,5.71548654,1358.0,6490.0,1.174,276.105
